itemName, itemId, fromDate, raidName
"Gem of Nerubis", 22937, "2025-07-01", "Naxx"
"Wraith Blade", 22807, "2025-07-01", "Naxx"
"Libram of Light", 23006, "2025-07-01", "Naxx"
"Hammer of the Twisting Nether", 23056, "2025-07-01", "Naxx"
"Necro-Knight's Garb", 23069, "2025-07-01", "Naxx"
"Leggings of Apocalypse", 23071, "2025-07-01", "Naxx"
"Corrupted Ashbringer", 22691, "2025-07-01", "Naxx"
"Ghoul Skin Tunic", 23226, "2025-07-01", "Naxx"
"Sadist's Collar", 23023, "2025-07-01", "Naxx"
"Digested Hand of Power", 22994, "2025-07-01", "Naxx"
"Frostfire Ring", 23062, "2025-07-01", "Naxx"
"Belt of the Grand Crusader", 23666, "2025-07-01", "Naxx"
"Icebane Pauldrons", 22940, "2025-07-01", "Naxx"
"Noth's Frigid Heart", 23029, "2025-07-01", "Naxx"
"Hatchet of Sundered Bone", 22816, "2025-07-01", "Naxx"
"Band of the Inevitable", 23031, "2025-07-01", "Naxx"
"Glacial Mantle", 22968, "2025-07-01", "Naxx"
"Desecrated Legguards", 22359, "2025-07-01", "Naxx"
"The Restrained Essence of Sapphiron", 23046, "2025-07-01", "Naxx"
"Iblis", 23014, "2025-07-01", "Naxx"
"Totem of Flowing Water", 23005, "2025-07-01", "Naxx"
"Cloak of Suturing", 22960, "2025-07-01", "Naxx"
"The Castigator", 22808, "2025-07-01", "Naxx"
"Maexxna's Fang", 22804, "2025-07-01", "Naxx"
"Warmth of Forgiveness", 23027, "2025-07-01", "Naxx"
"The Hungering Cold", 23577, "2025-07-01", "Naxx"
"Band of Unanswered Prayers", 22939, "2025-07-01", "Naxx"
"Seal of the Damned", 23025, "2025-07-01", "Naxx"
"Might of Menethil", 22798, "2025-07-01", "Naxx"
"Stormrage's Talisman of Seething", 23053, "2025-07-01", "Naxx"
"Desecrated Shoulderpads", 22368, "2025-07-01", "Naxx"
"Glyph of Deflection", 23040, "2025-07-01", "Naxx"
"The Face of Death", 23043, "2025-07-01", "Naxx"
"Desecrated Circlet", 22367, "2025-07-01", "Naxx"
"Gem of Trapped Innocents", 23057, "2025-07-01", "Naxx"
"Wand of the Whispering Dead", 23009, "2025-07-01", "Naxx"
"Desecrated Pauldrons", 22354, "2025-07-01", "Naxx"
"Midnight Haze", 22803, "2025-07-01", "Naxx"
"Touch of Frost", 22935, "2025-07-01", "Naxx"
"Nerubian Slavemaker", 22812, "2025-07-01", "Naxx"
"The Plague Bearer", 22818, "2025-07-01", "Naxx"
"Death's Bargain", 23075, "2025-07-01", "Naxx"
"Cryptfiend Silk Cloak", 22938, "2025-07-01", "Naxx"
"Desecrated Sabatons", 22358, "2025-07-01", "Naxx"
"Boots of Displacement", 23073, "2025-07-01", "Naxx"
"Desecrated Belt", 22370, "2025-07-01", "Naxx"
"Claymore of Unholy Might", 22813, "2025-07-01", "Naxx"
"Desecrated Boots", 22365, "2025-07-01", "Naxx"
"Spaulders of the Grand Crusader", 23667, "2025-07-01", "Naxx"
"Fortitude of the Scourge", 23549, "2025-07-01", "Naxx"
"Plagueheart Ring", 23063, "2025-07-01", "Naxx"
"Veil of Eclipse", 23017, "2025-07-01", "Naxx"
"Brimstone Staff", 22800, "2025-07-01", "Naxx"
"Desecrated Handguards", 22364, "2025-07-01", "Naxx"
"Sapphiron's Left Eye", 23049, "2025-07-01", "Naxx"
"Idol of Longevity", 23004, "2025-07-01", "Naxx"
"Leggings of Elemental Fury", 23665, "2025-07-01", "Naxx"
"Crystal Webbed Robe", 23220, "2025-07-01", "Naxx"
"Polar Shoulder Pads", 22941, "2025-07-01", "Naxx"
"Ring of Spiritual Fervor", 23037, "2025-07-01", "Naxx"
"Desecrated Tunic", 22350, "2025-07-01", "Naxx"
"Pendant of Forgotten Names", 22947, "2025-07-01", "Naxx"
"Stygian Buckler", 23238, "2025-07-01", "Naxx"
"Eye of Diminution", 23001, "2025-07-01", "Naxx"
