Item,ItemId,Name,Date
"Archimtiros' Ring of Reckoning",19376,Trapacero,"2026-06-26 15:53:16"
"Archimtiros' Ring of Reckoning",19376,Zbleh,"2026-06-26 15:23:33"
"Ashkandi, Greatsword of the Brotherhood",19364,Mikhalion,"2026-06-26 18:50:23"
"Band of Forced Concentration",19403,Arkogeros,"2026-06-26 19:34:21"
"Bloodfang Spaulders",16832,Trapacero,"2026-06-26 15:53:16"
"Boots of Pure Thought",19437,Gigawatts,"2026-06-26 19:24:52"
"Boots of Transcendence",16919,Foggiie,"2026-06-25 14:39:22"
"Chromatic Boots",19387,Aldee,"2026-06-25 22:12:57"
"Chromatic Boots",19387,Aldee,"2026-06-25 22:12:57"
"Chromatic Boots",19387,Gertggs,"2026-06-26 18:52:55"
"Chromatic Boots",19387,Gertggs,"2026-06-26 18:52:55"
"Chromatic Boots",19387,Groomz,"2026-06-25 16:52:53"
"Chromatic Boots",19387,Macharius,"2026-06-25 13:24:57"
"Chromatic Boots",19387,Macharius,"2026-06-25 13:24:57"
"Chromatic Boots",19387,Mercîless,"2026-06-25 22:41:07"
"Chromatically Tempered Sword",19352,Fatwhaleirl,"2026-06-26 19:03:08"
"Chromatically Tempered Sword",19352,Fatwhaleirl,"2026-06-26 19:03:08"
"Chromatically Tempered Sword",19352,Grimmi,"2026-06-26 18:26:47"
"Chromatically Tempered Sword",19352,Lillkungs,"2026-06-26 18:13:56"
"Chromatically Tempered Sword",19352,Pyroglade,"2026-06-26 19:35:04"
"Claw of Chromaggus",19347,Mikhalion,"2026-06-26 18:50:23"
"Cloak of Draconic Might",19436,Sixto,"2026-06-26 19:27:05"
"Dragonbreath Hand Cannon",19368,Birdiebird,"2026-06-26 19:22:10"
"Dragonstalker's Belt",16936,Birdiebird,"2026-06-26 19:22:10"
"Dragonstalker's Bracers",16935,Joeh,"2026-06-25 12:58:44"
"Drake Fang Talisman",19406,Alanakos,"2026-06-26 19:16:07"
"Drake Fang Talisman",19406,Alanakos,"2026-06-26 19:16:07"
"Drake Fang Talisman",19406,Celosia,"2026-06-26 17:40:15"
"Drake Fang Talisman",19406,Celosia,"2026-06-26 17:40:15"
"Drake Fang Talisman",19406,Disponenten,"2026-06-26 16:04:29"
"Drake Fang Talisman",19406,Eduard,"2026-06-25 12:04:27"
"Drake Fang Talisman",19406,Eduard,"2026-06-25 12:04:27"
"Drake Fang Talisman",19406,Farlomaker,"2026-06-26 19:01:14"
"Drake Fang Talisman",19406,Farlomaker,"2026-06-26 19:01:14"
"Drake Fang Talisman",19406,Groomz,"2026-06-25 16:52:53"
"Drake Fang Talisman",19406,Mercîless,"2026-06-25 22:41:07"
"Drake Fang Talisman",19406,Skoomael,"2026-06-26 18:04:05"
"Drake Fang Talisman",19406,Tochopolvo,"2026-06-26 05:51:24"
"Drake Fang Talisman",19406,Tochopolvo,"2026-06-26 05:51:24"
"Drake Talon Pauldrons",19394,Tanknarok,"2026-06-26 16:05:09"
"Drake Talon Pauldrons",19394,Theodeus,"2026-06-26 18:12:41"
"Elementium Ore",18562,Lillkungs,"2026-06-26 18:13:56"
"Elementium Ore",18562,Voidlocks,"2026-06-26 19:01:26"
"Elementium Ore",18562,Voidlocks,"2026-06-26 19:01:26"
"Elementium Ore",18562,Zbleh,"2026-06-26 15:23:33"
"Elementium Reinforced Bulwark",19349,Kennor,"2026-06-26 15:10:12"
"Empowered Leggings",19385,Birkler,"2026-06-26 19:28:04"
"Empowered Leggings",19385,Gigawatts,"2026-06-26 19:24:52"
"Firemaw's Clutch",19400,Arkogeros,"2026-06-26 19:34:21"
"Helm of Endless Rage",19372,Theodeus,"2026-06-26 18:12:41"
"Lifegiving Gem",19341,Disponenten,"2026-06-26 16:04:29"
"Lifegiving Gem",19341,Eïnherjar,"2026-06-26 17:28:16"
"Lok'amir il Romathis",19360,Birkler,"2026-06-26 19:28:04"
"Maladath, Runed Blade of the Black Flight",19351,Grimmi,"2026-06-26 18:26:47"
"Maladath, Runed Blade of the Black Flight",19351,Pyroglade,"2026-06-26 19:35:04"
"Maladath, Runed Blade of the Black Flight",19351,Tanknarok,"2026-06-26 16:05:09"
"Neltharion's Tear",19379,Lilleline,"2026-06-25 09:49:39"
"Neltharion's Tear",19379,Lilleline,"2026-06-25 09:49:39"
"Netherwind Belt",16818,Saduca,"2026-06-26 09:56:08"
"Netherwind Boots",16912,Saduca,"2026-06-26 09:56:08"
"Prestor's Talisman of Connivery",19377,Fluffycatto,"2026-06-26 16:27:21"
"Prestor's Talisman of Connivery",19377,Fluffycatto,"2026-06-26 16:27:21"
"Prestor's Talisman of Connivery",19377,Joeh,"2026-06-25 12:58:44"
"Prestor's Talisman of Connivery",19377,Skoomael,"2026-06-26 18:04:05"
"Pure Elementium Band",19382,Babiloniap,"2026-06-25 20:49:02"
"Pure Elementium Band",19382,Gallahan,"2026-06-26 18:43:49"
"Pure Elementium Band",19382,Mornie,"2026-06-25 18:46:25"
"Pure Elementium Band",19382,Mornie,"2026-06-25 18:46:25"
"Pure Elementium Band",19382,Skwisgaar,"2026-06-26 18:32:50"
"Rejuvenating Gem",19395,Argive,"2026-06-26 18:58:48"
"Rejuvenating Gem",19395,Babiloniap,"2026-06-25 20:49:02"
"Rejuvenating Gem",19395,Gallahan,"2026-06-26 18:43:49"
"Rejuvenating Gem",19395,Mohg,"2026-06-25 12:38:29"
"Rejuvenating Gem",19395,Mohg,"2026-06-25 12:38:29"
"Rejuvenating Gem",19395,Skwisgaar,"2026-06-26 18:32:50"
"Scrolls of Blinding Light",19343,Argive,"2026-06-26 18:58:48"
"Shroud of Pure Thought",19430,Foggiie,"2026-06-25 14:39:22"
"Styleen's Impeding Scarab",19431,Eïnherjar,"2026-06-26 17:28:16"
"Styleen's Impeding Scarab",19431,Kennor,"2026-06-26 15:10:12"
"The Untamed Blade",19334,Sixto,"2026-06-26 19:27:05"
