Item,ItemId,Name,Date
"Band of Accuria",17063,Disponenten,"2026-06-26 16:05:07"
"Blastershot Launcher",17072,Birdiebird,"2026-06-26 18:46:46"
"Bonereaver's Edge",17076,Aldee,"2026-06-26 20:29:08"
"Bonereaver's Edge",17076,Allipalli,"2026-06-26 20:27:22"
"Bonereaver's Edge",17076,Theodeus,"2026-06-26 18:11:44"
"Brutality Blade",18832,Tanknarok,"2026-06-26 20:30:58"
"Cauterizing Band",19140,Argive,"2026-06-26 18:40:29"
"Cauterizing Band",19140,Argive,"2026-06-26 18:40:29"
"Cauterizing Band",19140,Babiloniap,"2026-06-25 20:50:24"
"Cauterizing Band",19140,Foggiie,"2026-06-25 17:20:42"
"Cauterizing Band",19140,Gallahan,"2026-06-26 18:45:17"
"Cauterizing Band",19140,Gigawatts,"2026-06-26 19:23:15"
"Cauterizing Band",19140,Skwisgaar,"2026-06-26 18:36:45"
"Cloak of the Shrouded Mists",17102,Birdiebird,"2026-06-26 18:46:46"
"Cloak of the Shrouded Mists",17102,Joeh,"2026-06-25 12:57:58"
"Dragon's Blood Cape",17107,Trapacero,"2026-06-26 20:38:35"
"Eye of Sulfuras",17204,Allipalli,"2026-06-26 20:27:22"
"Eye of Sulfuras",17204,Mohg,"2026-06-26 19:09:01"
"Eye of Sulfuras",17204,Sixto,"2026-06-26 19:27:51"
"Fiery Core",17010,Mornie,"2026-06-25 18:47:19"
"Formula: Enchant Weapon - Spell Power",18259,Foggiie,"2026-06-25 17:20:42"
"Giantstalker's Gloves",16852,Sanabi,"2026-06-26 20:27:39"
"Giantstalker's Leggings",16847,Sanabi,"2026-06-26 20:27:39"
"Lava Core",17011,Mornie,"2026-06-25 18:47:19"
"Leggings of Transcendence",16922,Babiloniap,"2026-06-25 20:50:24"
"Netherwind Pants",16915,Saduca,"2026-06-26 09:57:13"
"Netherwind Pants",16915,Saduca,"2026-06-26 09:57:13"
"Onslaught Girdle",19137,Celosia,"2026-06-26 17:41:23"
"Onslaught Girdle",19137,Celosia,"2026-06-26 17:41:23"
"Onslaught Girdle",19137,Disponenten,"2026-06-26 16:05:07"
"Onslaught Girdle",19137,Fatwhaleirl,"2026-06-26 19:05:35"
"Onslaught Girdle",19137,Grimmi,"2026-06-25 18:52:48"
"Onslaught Girdle",19137,Grimmi,"2026-06-25 18:52:48"
"Onslaught Girdle",19137,Kennor,"2026-06-26 15:12:10"
"Onslaught Girdle",19137,Mercîless,"2026-06-25 22:41:30"
"Onslaught Girdle",19137,Mercîless,"2026-06-25 22:41:30"
"Onslaught Girdle",19137,Tanknarok,"2026-06-26 20:30:58"
"Onslaught Girdle",19137,Theodeus,"2026-06-26 18:11:44"
"Pattern: Flarecore Wraps",18265,Birkler,"2026-06-26 19:29:56"
"Perdition's Blade",18816,Trapacero,"2026-06-26 20:38:35"
"Plans: Elemental Sharpening Stone",18264,Alanakos,"2026-06-26 19:33:28"
"Quick Strike Ring",18821,Alanakos,"2026-06-26 19:33:28"
"Quick Strike Ring",18821,Farlomaker,"2026-06-26 19:19:20"
"Quick Strike Ring",18821,Farlomaker,"2026-06-26 19:19:20"
"Quick Strike Ring",18821,Gertggs,"2026-06-26 18:53:27"
"Quick Strike Ring",18821,Gertggs,"2026-06-26 18:53:27"
"Quick Strike Ring",18821,Groomz,"2026-06-25 17:20:44"
"Quick Strike Ring",18821,Groomz,"2026-06-25 17:20:44"
"Quick Strike Ring",18821,Kennor,"2026-06-26 15:12:10"
"Quick Strike Ring",18821,Lillkungs,"2026-06-26 18:14:51"
"Quick Strike Ring",18821,Lillkungs,"2026-06-26 18:14:51"
"Quick Strike Ring",18821,Macharius,"2026-06-25 13:25:40"
"Quick Strike Ring",18821,Macharius,"2026-06-25 13:25:40"
"Recipe: Major Rejuvenation Potion",18257,Zbleh,"2026-06-26 19:26:53"
"Ring of Spell Power",19147,Mikhalion,"2026-06-25 12:39:05"
"Schematic: Core Marksman Rifle",18292,Tochopolvo,"2026-06-26 18:38:34"
"Schematic: Core Marksman Rifle",18292,Zbleh,"2026-06-26 19:26:53"
"Schematic: Force Reactive Disk",18291,Tochopolvo,"2026-06-26 18:38:34"
"Spinal Reaper",17104,Mohg,"2026-06-26 19:09:01"
"Striker's Mark",17069,Aldee,"2026-06-26 20:29:08"
"Striker's Mark",17069,Fatwhaleirl,"2026-06-26 19:05:35"
"Talisman of Ephemeral Power",18820,Lilleline,"2026-06-25 09:49:58"
"Talisman of Ephemeral Power",18820,Lilleline,"2026-06-25 09:49:58"
"Talisman of Ephemeral Power",18820,Mikhalion,"2026-06-25 12:39:05"
"Talisman of Ephemeral Power",18820,Skwisgaar,"2026-06-26 18:36:45"
"Teebu's Blazing Longsword",1728,Fluffycatto,"2026-06-25 18:23:43"
"Teebu's Blazing Longsword",1728,Fluffycatto,"2026-06-25 18:23:43"
"Teebu's Blazing Longsword",1728,Sixto,"2026-06-26 19:27:51"
"The Eye of Divinity",18646,Arkogeros,"2026-06-26 19:06:02"
"The Eye of Divinity",18646,Arkogeros,"2026-06-26 19:06:02"
"Wild Growth Spaulders",18810,Birkler,"2026-06-26 19:29:56"
"Wild Growth Spaulders",18810,Gallahan,"2026-06-26 18:45:17"
"Wild Growth Spaulders",18810,Gigawatts,"2026-06-26 19:23:15"
"Wristguards of True Flight",18812,Joeh,"2026-06-25 12:57:58"
